zone_id,zone_name,community_num,parking_area,total_capacity,load_timestamp
1,AL MUTEENA,123,AREA 123,2566,2025-11-04 07:46:40
2,AL BUTEEN,114,AREA 114,4137,2025-11-04 07:46:40
3,AL KHABAISI,128,AREA 128,793,2025-11-04 07:46:40
4,AL MURAQQABAT,124,AREA 124,3848,2025-11-04 07:46:40
5,AL QUSAIS IND. SECOND,243,AREA 243,196,2025-11-04 07:46:40
6,AL SATWA,334,AREA 334,997,2025-11-04 07:46:40
7,AL QOUZ IND.THIRD,368,AREA 368,787,2025-11-04 07:46:40
8,TRADE CENTER FIRST,335,AREA 335,1418,2025-11-04 07:46:40
9,UMM AL SHEIF,367,AREA 367,20,2025-11-04 07:46:40
10,NADD AL HAMAR,416,AREA 416,77,2025-11-04 07:46:40
11,HOR AL ANZ,127,AREA 127,4045,2025-11-04 07:46:40
12,BURJ KHALIFA,345,AREA 345,365,2025-11-04 07:46:40
13,AL BADA',333,AREA 333,1410,2025-11-04 07:46:40
14,AL QOUZ IND.FOURTH,369,AREA 369,45,2025-11-04 07:46:40
15,MARSA DUBAI,392,AREA 392,782,2025-11-04 07:46:40
16,TRADE CENTER SECOND,336,AREA 336,945,2025-11-04 07:46:40
17,AL QUSAIS IND. FOURTH,247,AREA 247,145,2025-11-04 07:46:40
18,AL QOUZ IND.FIRST,364,AREA 364,1031,2025-11-04 07:46:40
19,AL MURAR,117,AREA 117,2025,2025-11-04 07:46:40
20,MUHAISANAH FOURTH,245,AREA 245,175,2025-11-04 07:46:40
21,AL MANARA,363,AREA 363,352,2025-11-04 07:46:40
22,AL RIGGA,119,AREA 119,2325,2025-11-04 07:46:40
23,AYAL NASIR,116,AREA 116,1840,2025-11-04 07:46:40
24,UMM SUQEIM THIRD,366,AREA 366,42,2025-11-04 07:46:40
25,MADINAT DUBAI AL MELAHEYAH,321,AREA 321,370,2025-11-04 07:46:40
26,AL SABKHA,115,AREA 115,2530,2025-11-04 07:46:40
27,RAS AL KHOR IND. SECOND,613,AREA 613,719,2025-11-04 07:46:40
28,AL QOUZ FOURTH,359,AREA 359,190,2025-11-04 07:46:40
29,HOR AL ANZ EAST,133,AREA 133,3273,2025-11-04 07:46:40
30,AL SAFOUH FIRST,372,AREA 372,15,2025-11-04 07:46:40
31,AL RAFFA,316,AREA 316,3266,2025-11-04 07:46:40
32,AL QUSAIS IND. FIRST,242,AREA 242,349,2025-11-04 07:46:40
