Timestamp,Parking_Spot_ID,Sensor_Reading_Proximity,Sensor_Reading_Pressure,Vehicle_Type_Weight,Vehicle_Type_Height,User_Type,Weather_Temperature,Weather_Precipitation,Nearby_Traffic_Level,Entry_Time,Exit_Time,Electric_Vehicle,Reserved_Status,Occupancy_Rate,Payment_Amount,Parking_Lot_Section,Payment_Status,Occupancy_Status,Vehicle_Type,Parking_Violation,Sensor_Reading_Ultrasonic,Parking_Duration,Environmental_Noise_Level,Dynamic_Pricing_Factor,Spot_Size,Proximity_To_Exit,User_Parking_History
00:00.0,20,1.02365141,1.541461447,1831.770127,4.392527712,Visitor,18.09255293,1,Low,18,9,0,1,0.57390877,2.289774475,Zone A,Paid,Occupied,Car,0,102.9510517,4,55.62074006,0.8,Standard,6.610473982,6.660309919
39:16.8,49,3.903349231,1.621719006,1330.815754,4.595638007,Registered,13.39753278,0,Low,3,13,1,0,0.161777892,0.67198333,Zone A,Unpaid,Occupied,Car,0,87.55913051,3,56.68238608,1.2,Compact,8.678718508,6.766187298
18:33.5,38,10.31570897,6.292374297,1255.134827,4.313720864,Registered,21.68741037,0,High,13,1,0,0,0.135113555,0.82829314,Zone B,Paid,Vacant,Car,1,100.061854,5,59.23932244,0.8,Standard,13.79526193,-0.910051898
57:50.3,31,6.588038896,1.659869587,1523.442919,3.56732871,Visitor,18.68346097,0,Medium,15,15,0,0,0.236755004,14.27313066,Zone B,Paid,Vacant,Motorcycle,1,110.5945981,2,44.54515464,0.8,Standard,1.678720598,10.41588828
37:07.0,8,8.21396913,3.278467031,1758.490837,5.14583647,Visitor,19.21487586,0,High,19,18,1,1,0.164526488,5.884322571,Zone C,Paid,Occupied,Car,0,84.78696342,2,48.01260445,0.8,Standard,20.0122522,4.355543654
16:23.8,8,5.376188576,1.752320766,1541.71812,5.585299437,Registered,13.94919528,0,Low,23,7,0,0,0.253042795,12.9528842,Zone D,Overdue,Vacant,Car,0,76.05522321,1,48.32158363,0.8,Standard,32.06621475,5.556890675
55:40.5,3,5.892769181,0.174468082,1026.901055,5.514883596,Registered,27.95700184,0,Medium,5,14,0,0,0.545753359,11.46607203,Zone A,Paid,Vacant,Electric Vehicle,0,141.1908564,5,55.27214484,0.8,Standard,8.370167467,4.33272224
34:57.3,45,9.45885994,6.17659582,1259.152667,5.819925253,Registered,24.38357093,0,Low,22,9,0,1,0.103671196,1.454448908,Zone C,Paid,Occupied,Car,0,103.7505952,4,47.57626672,0.8,Standard,11.46555979,9.270307776
14:14.1,31,1.436197578,3.509311709,1477.808141,5.32434021,Registered,24.82077942,0,Low,5,4,0,0,0.2566508,1.541866037,Zone A,Paid,Vacant,Electric Vehicle,0,118.7670063,3,54.5847986,0.8,Standard,19.64924141,7.578687482
53:30.8,37,3.361088331,4.850825054,1477.300319,4.467274502,Staff,18.47277649,0,Low,2,19,1,0,0.449471114,14.07894025,Zone B,Paid,Vacant,Electric Vehicle,0,104.189925,5,47.44208023,0.8,Standard,4.697006854,9.215013876
32:47.6,2,1.250065646,0.7076598,2091.762653,5.839663864,Visitor,11.35408555,0,Low,14,15,0,0,0.317173009,12.77505585,Zone A,Paid,Vacant,Car,0,121.0063481,2,61.17196164,0.8,Oversized,49.38099988,5.94646615
12:04.3,50,21.97779209,2.145426546,1084.203617,3.64248246,Registered,29.76458691,0,Low,2,20,1,1,0.187622049,4.748646519,Zone A,Unpaid,Occupied,Car,0,101.5835693,4,49.88256848,0.8,Oversized,11.41002291,6.824294054
51:21.1,43,14.41731894,5.833436823,1651.676773,4.099328617,Registered,19.69451246,1,Low,10,21,0,0,0.194111552,0.805836392,Zone A,Paid,Occupied,Motorcycle,0,111.742269,1,48.67905023,0.8,Standard,5.516453585,2.910762414
30:37.8,11,0.201125506,1.030376815,1946.733932,4.035799929,Registered,16.25600102,0,Low,2,11,0,0,0.443827605,0.121717984,Zone A,Paid,Occupied,Car,0,77.80939286,0,53.39507768,0.8,Standard,11.31149866,4.470807269
09:54.6,10,6.113657816,4.688510711,2181.434924,6.080056059,Visitor,22.08400787,0,Medium,9,22,0,1,0.199953158,3.398978265,Zone C,Paid,Occupied,Car,0,64.6975783,3,66.35500297,1,Standard,7.374753824,6.825909241
49:11.4,10,12.96791779,3.242151701,1378.680773,5.942788514,Registered,25.83560394,0,Low,17,12,0,0,0.219078217,0.09265062,Zone C,Paid,Vacant,Motorcycle,0,90.47044318,3,43.94814722,1,Standard,1.183799818,5.636491276
28:28.1,16,0.995764127,1.773631222,1647.428836,5.487305237,Registered,19.88474722,0,Low,0,8,1,0,0.270952874,2.614590817,Zone D,Paid,Occupied,Car,0,71.48412259,6,60.39424995,1,Compact,15.88975232,5.211408677
07:44.9,27,4.196014588,1.648421921,1670.928107,6.071929865,Registered,26.39287584,0,Low,15,16,0,0,0.304309187,5.43866753,Zone B,Paid,Vacant,Car,0,57.66036478,2,41.82413788,0.8,Oversized,8.309748295,3.448662402
47:01.6,23,12.35432632,1.338277688,1558.644519,4.120717218,Registered,25.41499969,0,Low,15,19,0,0,0.055213692,1.294434913,Zone A,Overdue,Occupied,Car,0,106.0349536,4,50.43829148,0.8,Standard,15.88878502,7.330942842
26:18.4,15,0.172677618,3.495139754,1470.34644,5.34859512,Registered,14.61809406,1,Medium,9,11,1,0,0.21624186,1.101249116,Zone A,Paid,Vacant,Motorcycle,0,64.61277197,2,42.05224331,0.8,Standard,1.683144445,7.30256055
05:35.1,32,5.977052284,3.809973055,1630.792617,4.874825572,Registered,16.63104947,1,Low,0,4,0,0,0.05105229,22.67579363,Zone A,Unpaid,Occupied,Car,0,118.9899131,1,46.28687985,1.2,Standard,7.729637535,7.084417613
44:51.9,8,1.764474824,2.472640951,740.3261744,5.846882104,Visitor,24.78768582,0,Medium,3,23,0,1,0.113936326,8.806100007,Zone A,Paid,Occupied,Car,0,128.8237113,5,43.21453938,0.8,Standard,14.55105559,5.584075954
24:08.6,15,12.91124336,1.260691351,1704.620847,4.884775767,Visitor,6.436937181,0,Low,2,11,1,0,0.211243916,27.25028827,Zone B,Paid,Vacant,Car,0,71.14020542,4,56.98217551,0.8,Compact,44.48556906,5.020209102
03:25.4,19,17.71234961,4.592356107,1537.853371,4.615057112,Visitor,19.25272153,0,Low,4,0,0,0,0.33060232,4.243821582,Zone B,Unpaid,Occupied,Car,0,105.7733123,1,45.0275586,0.8,Standard,21.57595762,7.248264772
42:42.2,24,14.43586841,6.254394435,1433.257531,5.540908519,Registered,12.84584399,0,Medium,11,19,0,0,0.285993546,11.30551779,Zone A,Unpaid,Occupied,Motorcycle,0,137.1586829,2,55.30207014,1.2,Compact,19.97674491,6.873600966
21:58.9,41,3.214307026,5.201169548,2114.058659,5.876169167,Registered,17.61723099,0,Medium,11,15,0,0,0.05622645,2.290254089,Zone A,Paid,Occupied,Motorcycle,1,90.56041124,5,44.73171027,1,Standard,2.843013112,3.214587369
01:15.7,11,9.904053534,11.96771211,1297.519794,4.331654805,Registered,18.50589955,0,Low,12,11,0,0,0.477294487,9.632259504,Zone A,Paid,Occupied,Car,0,112.2169291,1,49.94461646,0.8,Standard,18.20063897,5.632695412
40:32.4,27,9.307136366,2.883046451,1379.077203,4.938924329,Registered,18.20877811,1,Medium,23,8,0,1,0.198799077,1.387860083,Zone A,Paid,Vacant,Car,0,147.8580702,3,64.57598478,0.8,Standard,1.854640222,6.316102852
19:49.2,31,1.921702608,8.292558048,2097.465991,3.941559366,Visitor,17.23869374,0,Low,11,12,0,0,0.334615418,0.020828067,Zone A,Paid,Vacant,Car,1,66.45702245,5,42.54508731,1.2,Standard,2.207809252,3.653793676
59:05.9,3,8.827987707,1.928175195,1250.381609,2.501938983,Registered,14.51428175,0,Medium,15,16,0,1,0.146305967,26.81385896,Zone C,Paid,Occupied,Car,1,79.6143177,2,42.73471732,0.8,Compact,1.166649976,6.806880557
38:22.7,31,0.188548976,1.666345314,1334.965415,5.200459631,Registered,31.45955633,0,Medium,12,16,0,0,0.315261031,8.094436681,Zone A,Unpaid,Occupied,Car,0,111.281822,2,47.53791523,1,Compact,19.49090917,6.435312581
17:39.5,9,4.535043201,3.660204647,1455.892373,5.608905356,Visitor,29.33731002,1,Medium,4,3,1,0,0.51234922,26.16483329,Zone C,Paid,Vacant,Car,0,143.4487724,3,49.82418551,1,Compact,1.14574497,4.167389451
56:56.2,4,1.306881206,9.534016896,1752.220345,5.262066809,Staff,14.1896709,0,High,23,13,0,0,0.278067379,4.06212673,Zone A,Paid,Vacant,Car,0,85.77566333,2,56.2080418,0.8,Standard,1.486293435,2.286421943
36:13.0,49,0.642388837,2.635223323,1562.340752,3.050438282,Registered,27.91058376,0,Low,3,18,0,0,0.157511195,3.971786397,Zone A,Paid,Vacant,Car,0,148.7146372,3,50.42984893,0.8,Compact,2.822132538,6.172481688
15:29.7,50,0.400376717,0.707067342,1112.212396,4.64915057,Registered,18.00267255,0,Medium,20,6,0,0,0.142534674,5.119178897,Zone C,Paid,Vacant,Motorcycle,0,102.6391229,2,52.4519709,0.8,Standard,8.501809672,8.9292245
54:46.5,42,5.958389748,6.172952071,1340.349431,2.78165224,Registered,20.64593737,0,Low,14,2,0,0,0.228472732,12.24314923,Zone B,Paid,Occupied,Motorcycle,0,60.65488672,4,38.45672501,1.2,Standard,21.21766209,5.510798216
34:03.2,16,2.076630065,3.136370583,1317.79367,6.369701108,Registered,19.6836302,0,Low,11,0,0,0,0.276907423,8.34269907,Zone A,Paid,Occupied,Car,0,131.8096325,3,53.01568529,1,Standard,5.416769274,6.282766355
