community_name_ar,community_name_en,community_num,parking_area,park_spaces_count,load_timestamp
المطينة,AL MUTEENA,123,AREA 123,2566,46:40.0
البطين,AL BUTEEN,114,AREA 114,4137,46:40.0
الخبيصي,AL KHABAISI,128,AREA 128,793,46:40.0
المرقبات,AL MURAQQABAT,124,AREA 124,3848,46:40.0
القصيص الصناعية الثانية,AL QUSAIS IND. SECOND,243,AREA 243,196,46:40.0
السطوة,AL SATWA,334,AREA 334,997,46:40.0
القوز الصناعية الثالثة,AL QOUZ IND.THIRD,368,AREA 368,787,46:40.0
المركز التجاري الأولى,TRADE CENTER FIRST,335,AREA 335,1418,46:40.0
أم الشيف,UMM AL SHEIF,367,AREA 367,20,46:40.0
ند الحمر,NADD AL HAMAR,416,AREA 416,77,46:40.0
هور العنز,HOR AL ANZ,127,AREA 127,4045,46:40.0
برج خليفة,BURJ KHALIFA,345,AREA 345,365,46:40.0
البدع,AL BADA',333,AREA 333,1410,46:40.0
القوز الصناعية الرابعة,AL QOUZ IND.FOURTH,369,AREA 369,45,46:40.0
مرسى دبي,MARSA DUBAI,392,AREA 392,782,46:40.0
المركز التجاري الثانية,TRADE CENTER SECOND,336,AREA 336,945,46:40.0
غير معروف,Unknown,-1,Test 999,1,46:40.0
القصيص الصناعية الرابعة,AL QUSAIS IND. FOURTH,247,AREA 247,145,46:40.0
القوز الصناعية الأولى,AL QOUZ IND.FIRST,364,AREA 364,1031,46:40.0
المرر,AL MURAR,117,AREA 117,2025,46:40.0
محيصنة الرابعة,MUHAISANAH FOURTH,245,AREA 245,175,46:40.0
المنارة,AL MANARA,363,AREA 363,352,46:40.0
الرقة,AL RIGGA,119,AREA 119,2325,46:40.0
عيال ناصر,AYAL NASIR,116,AREA 116,1840,46:40.0
أم سقيم الثالثة,UMM SUQEIM THIRD,366,AREA 366,42,46:40.0
مدينة دبي الملاحية,MADINAT DUBAI AL MELAHEYAH,321,AREA 321,370,46:40.0
السبخة,AL SABKHA,115,AREA 115,2530,46:40.0
رأس الخور الصناعية الثانية,RAS AL KHOR IND. SECOND,613,AREA 613,719,46:40.0
القوز الرابعة,AL QOUZ FOURTH,359,AREA 359,190,46:40.0
هور العنز شرق,HOR AL ANZ EAST,133,AREA 133,3273,46:40.0
الصفوح الأولى,AL SAFOUH FIRST,372,AREA 372,15,46:40.0
الرفاعة,AL RAFFA,316,AREA 316,3266,46:40.0
القصيص الصناعية الأولى,AL QUSAIS IND. FIRST,242,AREA 242,349,46:40.0
القصيص الثانية,AL QUSAIS SECOND,233,AREA 233,1069,46:40.0
عود ميثاء,OUD METHA,319,AREA 319,4164,46:40.0
الحضيبة,AL HUDAIBA,322,AREA 322,1515,46:40.0
أبو هيل,ABU HAIL,126,AREA 126,67,46:40.0
النهدة الثانية,AL NAHDA SECOND,241,AREA 241,5366,46:40.0
الحمرية,AL HAMRIYA,313,AREA 313,1668,46:40.0
رأس الخور الصناعية الأولى,RAS AL KHOR IND. FIRST,612,AREA 612,65,46:40.0
الكرامة,AL KARAMA,318,AREA 318,10210,46:40.0
الكفاف,AL KIFAF,324,AREA 324,325,46:40.0
القرهود,AL GARHOUD,214,AREA 214,4435,46:40.0
الكورنيش,AL CORNICHE,111,AREA 111,566,46:40.0
جميرا الثالثة,JUMEIRA THIRD,352,AREA 352,402,46:40.0
الطوار الأولى,AL TWAR FIRST,226,AREA 226,1016,46:40.0
الطوار الثانية,AL TWAR SECOND,227,AREA 227,172,46:40.0
القوز الأولى,AL QOUZ FIRST,354,AREA 354,486,46:40.0
رقة البطين,RIGGAT AL BUTEEN,125,AREA 125,2594,46:40.0
أم رمول,UMM RAMOOL,215,AREA 215,769,46:40.0
جميرا الثانية,JUMEIRA SECOND,342,AREA 342,167,46:40.0
الراشدية,AL RASHIDIYA,216,AREA 216,297,46:40.0
زعبيل الثانية,ZAA'BEEL SECOND,337,AREA 337,532,46:40.0
البرشاء الثانية,AL BARSHA SECOND,376,AREA 376,1132,46:40.0
